timestamp	annotations	busco	retry	giveup
2026-03-04T19:32:08Z	14800	14104	0	1392
2026-03-04T19:32:42Z	14800	14104	0	1392
2026-03-04T19:54:59Z	14800	14104	0	696
2026-03-04T20:54:54Z	14800	14104	0	696
2026-03-06T12:10:09Z	14800	14104	0	696
2026-03-13T12:11:15Z	14844	14147	1	696
2026-03-20T12:10:53Z	14892	14194	1	697
2026-03-27T12:15:31Z	14952	14254	1	697
2026-04-03T12:13:37Z	15003	14304	1	698
2026-04-10T12:17:08Z	15148	14446	3	699
2026-04-17T12:20:37Z	15190	14488	0	702
2026-04-24T12:21:56Z	15233	14531	0	702
2026-05-01T12:21:04Z	15283	14582	0	701
