annotation_id	lineage	busco_count	complete	single	duplicated	fragmented	missing
00f4a754d9196af64ee3f549615df3b4	eukaryota_odb12	129	95.3	90.7	4.7	3.9	0.8
1d117de49b45662a3dbcd69be107606d	eukaryota_odb12	129	97.7	93.8	3.9	0.8	1.6
32d9236a08791382243c9bde2de37850	eukaryota_odb12	129	96.9	96.9	0.0	1.6	1.6
581a2c46d4758e7c4f2d77cc650c189d	eukaryota_odb12	129	87.6	86.0	1.6	9.3	3.1
6f9b67b3af1fca145444f215c489b574	eukaryota_odb12	129	96.9	94.6	2.3	1.6	1.6
85b39713fa89d05ccadbc0632bbf1f51	eukaryota_odb12	129	92.2	92.2	0.0	4.7	3.1
a8b540feaa135457fcfc4a410f58c00e	eukaryota_odb12	129	93.8	92.2	1.6	5.4	0.8
c0694932c07174a86d1d68c4ad3104ed	eukaryota_odb12	129	96.1	95.3	0.8	3.1	0.8
d8578eeb71f140e187c79511fec5736f	eukaryota_odb12	129	94.6	93.8	0.8	3.9	1.6
ebb875b39c3c807b43ade0e649b89119	eukaryota_odb12	129	94.6	94.6	0.0	0.8	4.7
0161d50d57ed13b47aa124927a79d60b	eukaryota_odb12	129	96.9	95.3	1.6	0.8	2.3
1f326e8620675575809f4f5358167970	eukaryota_odb12	129	94.6	93.0	1.6	5.4	0.0
36db2efb29504984e2fcdc12f22f7e77	eukaryota_odb12	129	88.4	86.8	1.6	8.5	3.1
584751ca2e3be7e0938c792e71614ca2	eukaryota_odb12	129	95.3	94.6	0.8	1.6	3.1
884bd8c17f120563f1d845e27e54ace8	eukaryota_odb12	129	97.7	96.9	0.8	0.8	1.6
a99457ec75bb12fb1c61f118745b7a36	eukaryota_odb12	129	93.8	93.0	0.8	2.3	3.9
d8d7326124f6c4d3b32619918494905e	eukaryota_odb12	129	94.6	94.6	0.0	3.9	1.6
ebdb6a3fcf8a37786665589fdea53729	eukaryota_odb12	129	95.3	93.0	2.3	4.7	0.0
0637868d99c7672a4240121a54e372d1	eukaryota_odb12	129	89.1	86.0	3.1	7.8	3.1
245ca27cf74faad655ad59ded0ce20ad	eukaryota_odb12	129	97.7	96.9	0.8	1.6	0.8
41e155da94274e0f592f0bc1842ea6d8	eukaryota_odb12	129	92.2	59.7	32.6	3.9	3.9
6208b47d948495a1c4c02b87a2023bc4	eukaryota_odb12	129	97.7	96.9	0.8	0.8	1.6
7553fad3a706932356c5873cea268f7a	eukaryota_odb12	129	97.7	96.1	1.6	1.6	0.8
91e46a0d36f2492dc9e8b167d366045d	eukaryota_odb12	129	97.7	93.8	3.9	1.6	0.8
b08b210c07252442b5518e32499909cc	eukaryota_odb12	129	92.2	88.4	3.9	4.7	3.1
c5e577993a6bb4f581424877f40ae9f1	eukaryota_odb12	129	96.9	95.3	1.6	2.3	0.8
df821cfb1e125f5e3b112c7f0dcb8b3c	eukaryota_odb12	129	97.7	96.9	0.8	0.8	1.6
06c7f5a05a0cb1921931f92a5357b60f	eukaryota_odb12	129	96.9	96.9	0.0	0.8	2.3
247893eed745ecd92648d26d439403de	eukaryota_odb12	129	93.0	91.5	1.6	7.0	0.0
62c45eb892d886a2a536dc1dedb83db6	eukaryota_odb12	129	93.0	91.5	1.6	4.7	2.3
7559afc56afd8d2979f5e8b05b41c929	eukaryota_odb12	129	93.0	92.2	0.8	5.4	1.6
94de88f293643656681efca675c99d49	eukaryota_odb12	129	92.2	90.7	1.6	3.1	4.7
b13184232f9386312d2507eab8e37bfa	eukaryota_odb12	129	91.5	90.7	0.8	8.5	0.0
c62b025b60178b8d8f373023608ecf68	eukaryota_odb12	129	94.6	88.4	6.2	5.4	0.0
f3b3ad8cc21ff95afd207948f7759e06	eukaryota_odb12	129	96.1	95.3	0.8	2.3	1.6
08bf35286fdd11803e6abc8087310266	eukaryota_odb12	129	93.0	88.4	4.7	7.0	0.0
2492db9c61ef2ff206c2ede6d7a3587a	eukaryota_odb12	129	92.2	91.5	0.8	7.8	0.0
43c786d0f94be98aea644e0b2fde6f47	eukaryota_odb12	129	89.1	84.5	4.7	8.5	2.3
637ddb3812fbc1e343dd921e674073cb	eukaryota_odb12	129	95.3	93.0	2.3	3.1	1.6
9670cfdf9d35e48d7511a3ce6b4588bb	eukaryota_odb12	129	93.8	93.0	0.8	3.9	2.3
b136fbc152b8bf50a1317e91001879d2	eukaryota_odb12	129	89.9	88.4	1.6	8.5	1.6
c6b3cde9c11c1a266bf55d66607d5895	eukaryota_odb12	129	97.7	96.9	0.8	1.6	0.8
0a6165c72b97e0f5ba698422e842df9a	eukaryota_odb12	129	92.2	90.7	1.6	7.8	0.0
2495ecb3095d27793905d270544fdf1f	eukaryota_odb12	129	95.3	91.5	3.9	4.7	0.0
46e609d17d837197edd6fb4c1ace9048	eukaryota_odb12	129	89.1	86.8	2.3	2.3	8.5
6500bc84df0aaf1b23a054edd8cf69db	eukaryota_odb12	129	96.9	96.1	0.8	1.6	1.6
769997093fff1d1be7491e37acc1a8f9	eukaryota_odb12	129	95.3	94.6	0.8	3.1	1.6
969ab5b26bd1791580f0cb2e9f70b845	eukaryota_odb12	129	96.9	93.8	3.1	0.8	2.3
c6f7356619c6e67ee5697bf4f86d4204	eukaryota_odb12	129	100.0	100.0	0.0	0.0	0.0
e0404e4d6030b4b2d4d4062cddefd55a	eukaryota_odb12	129	93.8	89.9	3.9	3.1	3.1
0acdc576b5c527a79e937c2fb2846118	eukaryota_odb12	129	93.8	93.0	0.8	3.9	2.3
25c28f30b31c829a385699b72440ee3c	eukaryota_odb12	129	93.0	92.2	0.8	5.4	1.6
655ae84dd0e5307fc47872fbf7d0d84f	eukaryota_odb12	129	92.2	92.2	0.0	4.7	3.1
78015c05f6c812277fa0b5acbdbee180	eukaryota_odb12	129	86.8	82.9	3.9	10.9	2.3
96f01e55f6eaa7641dde513bd8f488eb	eukaryota_odb12	129	97.7	96.1	1.6	0.8	1.6
c6f9e3c36acee3a1e0c9ef41dd64aedd	eukaryota_odb12	129	90.7	89.1	1.6	7.8	1.6
e159d7514354b30cf6f96cc24d9fd42e	eukaryota_odb12	129	99.2	95.3	3.9	0.8	0.0
f5f80da1f2ba72138c9876174b6f9158	eukaryota_odb12	129	82.2	77.5	4.7	15.5	2.3
0c9cd794cc892b8c9703037acb2b39fb	eukaryota_odb12	129	94.6	94.6	0.0	4.7	0.8
