annotation_id	lineage	busco_count	complete	single	duplicated	fragmented	missing
009f8e70ecab25e813bf013542759aec	eukaryota_odb12	129	97.7	96.1	1.6	2.3	0.0
d9b5ad235dd8f3f5177024f3399070dc	eukaryota_odb12	129	83.7	68.2	15.5	3.9	12.4
00b1aadbd03a81f7dc84d7f86543bbbf	eukaryota_odb12	129	44.2	44.2	0.0	30.2	25.6
d9d4aa3d72dec448eecfb8dc202519b6	eukaryota_odb12	129	59.7	58.9	0.8	11.6	28.7
10cc9bb02de0e989a4710ed0a162be4c	eukaryota_odb12	129	97.7	97.7	0.0	2.3	0.0
df79835816edfbbf9ce0f3c31c2691cf	eukaryota_odb12	129	52.7	51.9	0.8	27.1	20.2
655ae84dd0e5307fc47872fbf7d0d84f	eukaryota_odb12	129	0.0	0.0	0.0	0.0	100.0
65d2b57b51abde8d2b3a5b0e1ba3ca74	eukaryota_odb12	129	97.7	40.3	57.4	0.8	1.6
660a5972c79a86a71576c7e15f9dfd27	eukaryota_odb12	129	92.2	92.2	0.0	1.6	6.2
66b3d3b9de4b26601771d88a5e63c4b6	eukaryota_odb12	129	98.4	90.7	7.8	1.6	0.0
67a8e16746fd56c9abadd7d9f7ab138e	eukaryota_odb12	129	100.0	97.7	2.3	0.0	0.0
686a7b35b84a84c01256089f077ad0b8	eukaryota_odb12	129	92.2	92.2	0.0	4.7	3.1
69c8f80f51ba7c5e91ad9b5afae52793	eukaryota_odb12	129	0.0	0.0	0.0	0.0	100.0
10ebb38dd0ccfcc39f3a35d68faffb4c	eukaryota_odb12	129	93.8	7.8	86.0	4.7	1.6
df8127abbe0cd915347bfa69e8ddc360	eukaryota_odb12	129	93.0	90.7	2.3	4.7	2.3
6a8ec1bc04bd2161feefdfa649d89fd2	eukaryota_odb12	129	86.0	85.3	0.8	7.0	7.0
6befa8235c3805cdd7270d3135846296	eukaryota_odb12	129	99.2	99.2	0.0	0.8	0.0
6bf2cce7091aa6555a1c041a3a5f6aba	eukaryota_odb12	129	99.2	99.2	0.0	0.8	0.0
6da05a14a5f31fa47df9de3e72fa4fb2	eukaryota_odb12	129	97.7	97.7	0.0	2.3	0.0
6e8127d5d2fc334387a9f789cd60fa0a	eukaryota_odb12	129	74.4	54.3	20.2	17.1	8.5
6f336477d4b52fe023c930adfbd1dcbd	eukaryota_odb12	129	96.1	93.8	2.3	1.6	2.3
7017bdd3a5650731639b8b2b96817616	eukaryota_odb12	129	48.1	39.5	8.5	11.6	40.3
703381b2ae6b9135a35234f8df47b738	eukaryota_odb12	129	86.0	84.5	1.6	4.7	9.3
7156972c87fd7141f826db625a9eb387	eukaryota_odb12	129	96.9	96.1	0.8	3.1	0.0
13d6b7efd104a0ec088c1fdcf9f61b5f	eukaryota_odb12	129	93.0	93.0	0.0	5.4	1.6
e0404e4d6030b4b2d4d4062cddefd55a	eukaryota_odb12	129	0.0	0.0	0.0	0.0	100.0
71f827b72961c785e3c92d2e04c32de5	eukaryota_odb12	129	89.1	89.1	0.0	9.3	1.6
